Area,Utility Group,Utility,Indicator Category,Indicator Sub Category,Indicator Code,Derived,Indicator Name,Unit,Footnote (2022-2023),2022-2023,2021-2022,2020-2021,2019-2020,2018-2019,2017-2018,2016-2017,2015-2016,2014-2015,2013-2014,2012-2013,2011-2012,2010-2011,2009-2010,2008-2009,2007-2008,2006-2007,2005-2006,2004-2005,2003-2004,2002-2003
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Finance,Revenue,F1,Report,Total revenue: water supply,$ 000s,,No data,8930.289,0,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Finance,Revenue,F2,Report,Total revenue: wastewater,$ 000s,,No data,9841.085,0,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Finance,Revenue,F3,Report,Total income for the utility,$ 000s,,No data,18777.795,0,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Finance,Revenue,F4,Report,Percentage of residential revenue from usage charges: water supply,%,,No data,63,No data,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Finance,Revenue,F5,Derived,Revenue per property: water supply,$/property,,No Data,964.31,0,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Finance,Revenue,F6,Derived,Revenue per property: wastewater,$/property,,No Data,1169.8,0,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Finance,Revenue,F7,Derived,Total income per property,$/property,,No Data,2027.08,0,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Finance,Revenue from community service obligations (CSOs),F8,Derived,Community service obligations ratio,ratio,,No Data,0,No data,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Finance,Costs,F9,Report,Written-down replacement cost of fixed water supply assets,$ 000s,,No data,182474.791,0,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Finance,Costs,F10,Report,Written-down replacement cost of fixed wastewater assets,$ 000s,,No data,118361.651,0,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Finance,Costs,F11,Derived,Operating cost per property: water supply,$/property,,No Data,631.46,0,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Finance,Costs,F12,Derived,Operating cost per property: wastewater,$/property,,No Data,912.94,0,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Finance,Costs,F13,Report,Combined operating cost per property: water supply and wastewater,$/property,,No data,1544.39,0,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Finance,Capital Expenditure,F14,Report,Capital expenditure: water supply,$ 000s,,No data,2053.838,0,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Finance,Capital Expenditure,F15,Report,Capital expenditure: wastewater,$ 000s,,No data,16807.438,0,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Finance,Capital Expenditure,F16,Derived,Total capital expenditure: water supply and wastewater,$ 000s,,No Data,18861,0,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Finance,Capital Expenditure,F28,Derived,Capital expenditure per property: water supply,$/property,,No Data,221.54,0,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Finance,Capital Expenditure,F29,Derived,Capital expenditure per property: wastewater,$/property,,No Data,1998.1843,0,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Finance,Economic real rate of return,F17,Report,Economic real rate of return: water supply,ratio,,No data,0.4,No data,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Finance,Economic real rate of return,F18,Report,Economic real rate of return: wastewater,ratio,,No data,0.4,No data,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Finance,Economic real rate of return,F19,Report,Economic real rate of return: water supply and wastewater,ratio,,No data,0.4,No data,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Finance,Dividends,F20,Report,Dividends,$ 000s,,No data,0,0,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Finance,Dividends,F21,Derived,Dividend payout ratio,ratio,,No Data,0,No data,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Finance,Net debt to equity,F22,Report,Net debt to equity ratio,ratio,,No data,-10.7,No data,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Finance,Interest cover,F23,Report,Interest cover ratio,ratio,,No data,>1,No data,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Finance,Dividends,F24,Report,Net profit after tax (NPAT),$ 000s,,No data,1190.134,0,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Finance,Net profit after tax,F30,Derived,Net profit after tax ratio,ratio,,No Data,0,No data,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Finance,Community service obligations (CSOs),F25,Report,Community service obligations ($),$ 000s,,No data,0,0,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Finance,Capital works grants,F26,Report,Capital works grants: water supply,$ 000s,,No data,856.212,0,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Finance,Capital works grants,F27,Report,Capital works grants: wastewater,$ 000s,,No data,0,0,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Finance,Costs,IF11,Report,Operating cost: water supply,$ 000s,,No data,5851.137,0,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Finance,Costs,IF12,Report,Operating cost: wastewater,$ 000s,,No data,7674.869,0,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Public Health,Water quality compliance,H1,Report,Water quality guidelines,provided as text,,"ADWG, Health",,Australian Drinking Water Guidelines in accordance with the NSW Public Health Act and Regulation (ADWG),,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Public Health,Water quality compliance,H3,Report,Percentage of population where microbiological compliance was achieved,%,,100,100,100,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Public Health,Water quality compliance,H4,Report,Number of zones where chemical compliance was achieved,zones,No Water Treatment was done at one of the WTPs this report year. It will be removed from our reporting next year,11,11,11,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Public Health,Water quality compliance,H4a,Report,Total number of zones,zones,,11,11,11,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Public Health,Water quality compliance,H5,Report,Risk-based drinking water management plan externally assessed,yes/no,,No,Yes,Yes,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Pricing,Residential tariff structure,P1,Report,Tariff structure: water supply,provided as text,,Two part,two part,two part,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Pricing,Residential tariff structure,P1.2,Report,Fixed charge: water supply,$,,276,288.22,295.11,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Pricing,Residential tariff structure,P1.3,Report,Usage charge: step 1,$/kL,,3.3,3.42,3.51,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Pricing,Residential tariff structure,P1.4,Report,Usage charge: step 2,$/kL,,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Pricing,Residential tariff structure,P1.5,Report,Usage charge: step 3,$/kL,,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Pricing,Residential tariff structure,P1.6,Report,Usage charge: step 4,$/kL,,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Pricing,Residential tariff structure,P1.7,Report,Usage charge: step 5,$/kL,,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Pricing,Residential tariff structure,P1.12,Report,Special levies: water supply,$,,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Pricing,Residential tariff structure,P1.13,Report,Income from special levies retained by the utility: water supply,yes/no,,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Pricing,Residential tariff structure,P1.3a,Report,Upper bound of usage: step 1,kL,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Pricing,Residential tariff structure,P1.4a,Report,Upper bound of usage: step 2,kL,,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Pricing,Residential tariff structure,P1.5a,Report,Upper bound of usage: step 3,kL,,No data,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Pricing,Residential tariff structure,P1.6a,Report,Upper bound of usage: step 4,kL,,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Pricing,Residential tariff structure,P1.7a,Report,Upper bound of usage: step 5,kL,,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Pricing,Annual bill,P2,Report,Annual residential bill based on 200 kL per annum: water supply,$,,936,973.19,997.12,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Pricing,Annual bill,P3,Report,Typical residential bill: water supply,$,,733.58,No data,715.44,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Pricing,Residential tariff structure,P4,Report,Tariff structure: wastewater Definition,provided as text,,Fixed,Fixed,Fixed,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Pricing,Residential tariff structure,P4.1,Report,Fixed charge: wastewater,$,,969,1008.51,1032.89,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Pricing,Residential tariff structure,P4.2,Report,Usage charge: wastewater,$/kL,,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Pricing,Residential tariff structure,P4.3,Report,Special levies: wastewater,$,,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Pricing,Residential tariff structure,P4.4,Report,Income from special levies retained by the utility: wastewater,yes/no,,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Pricing,Annual bill,P5,Report,Annual residential bill based on 200 kL per annum: wastewater,$,,969,1008.51,1032.89,,,,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Snowy Monaro Regional Council,Pricing,Annual bill,P6,Report,Typical residential bill: wastewater,$,,969,No data,1032.89,,,,,,,,,,,,,,,,,,
